Daily data of meteorological variables monitored at the IAG Meteorological Station in Sao Paulo (WMO station #83004), except for the variables pblh.m. and ustar.m.s., from the ERA5 reanalysis.
List of variables
data: yyyy-mm-dd
m: month
pblh.m.: planetary boundary layer height at 12:00 local time (m)
ustar.m.s.: friction velocity at 12:00 local time(m/s)
VelocVento: wind velocity, daily mean (m/s)
DirVento: wind direction, daily mean
Insolacao: number of hours of solar radiation (hours)
Irradiacao: global radiation, daily accumulation (W/m2)
Precipitacao: precipitation, daily accumulation (mm/day)
PressaoMED: atmospheric pressure near surface, daily mean (mbar)
TempMED: air temperature near surface, daily mean (degC)
TempMAX: air temperature near surface, daily maximum (degC)
UR: relative humidity, daily mean (%)
pwv: total column water vapour at 12:00 local time (kg m-2)  
data,m,pblh.m.,ustar.m.s.,VelocVento,DirVento,Insolacao,Irradiacao,Precipitacao,PressaoMED,TempMED,TempMAX,UR,pwv
2015-04-04,4,1058.1192536769,0.206595741527139,6.08333333333333,NE,8,18.4307884352872,0,922.967854865245,21.675,29.3,77.6666666666667,26.5104178230196
2015-04-05,4,827.731239131993,0.320429475797858,8.5,NW,0.7,13.8357368775503,0,920.488828154895,22.6041666666667,27.6,77.5416666666667,39.2179767621507
2015-04-06,4,1059.49584970857,0.321007494516579,10.0833333333333,S,7.7,16.2629580379229,0.7,921.190552246465,20.9708333333333,27.9,80.3333333333333,28.0356250879098
2015-04-07,4,816.233277195404,0.432634248224907,6.625,SSE,1.4,10.535608488081,6.3,926.393069156605,16.6125,20.2,88.1666666666667,23.8516001622844
2015-04-08,4,1102.56525178114,0.245049197341037,6.5,E,6.6,18.1358286978913,0,927.948981937728,17.725,24.3,80.5416666666667,22.4520502710976
2015-04-09,4,877.480517030343,0.182883145860541,5.20833333333333,NE,6.4,17.0547962864142,0,928.487968672849,19.1916666666667,24.9,80.5416666666667,23.9999643814656
2015-04-10,4,804.103435113135,0.199474219035712,4.16666666666667,E,2.8,13.241335708607,0,929.320064311081,19.2541666666667,25.2,83.375,26.0930352141947
2015-04-11,4,1407.08634770327,0.169713169121057,4.16666666666667,SE,6.6,17.1750223969932,0,927.744736852802,20.1875,29.1,80.4583333333333,21.6446102403786
2015-04-12,4,1079.26467140916,0.0967113408943834,3.5,SE,3.1,12.4587698935475,0,926.961883301945,18.5583333333333,25.1,86.75,20.9266505753136
2015-04-13,4,669.704784841588,0.129428859757906,4.5,E,1.7,13.6590168850852,0,928.095570212335,19.675,24.8,83.0833333333333,22.7907286443258
2015-04-14,4,906.140795066589,0.102375371209894,3.75,E,4.1,13.9489256559532,0,926.972427777508,20.2666666666667,26.9,83.4583333333333,27.7304296902167
2015-04-15,4,1353.21856528397,0.264170830935492,5,WNW,5.3,13.6334809907922,12.1,924.886645881953,21.525,28,82.25,38.1034170247997
2015-04-16,4,772.328890644603,0.190853719771334,3.83333333333333,SSE,4.1,11.430585656377,0.7,925.454381242128,20.25,26.1,89.75,33.9994433510282
2015-04-17,4,1084.74848838775,0.20869209649743,4.79166666666667,ESE,6.9,15.8712875660211,0,926.82145343196,20.4208333333333,26.9,83.125,24.0197847635352
2015-04-18,4,1356.64877178909,0.315006056145164,6.29166666666667,NE,8.1,15.4040244645499,0,924.81862424852,22.8875,29.6,78.0416666666667,36.2331811671833
2015-04-19,4,917.965980650048,0.117846360265055,2.83333333333333,ESE,1.5,10.4948256017197,0.9,924.941766035895,21.5541666666667,26.1,87.2916666666667,42.1575510970564
2015-04-20,4,1122.33407348174,0.151916276991998,3.79166666666667,NNE,6.3,13.6445986324939,0,923.497774175548,23.2375,29.8,81.2083333333333,40.659861449991
2015-04-21,4,1296.31550145059,0.264051908423985,4.875,SE,2.8,8.44593658461826,8.4,924.078010670362,22.0833333333333,28,88.4166666666667,41.6377952526874
2015-04-22,4,444.484647202426,0.192654151282758,3.95833333333333,ESE,0,5.88524603982565,17.2,926.328772620139,19.7083333333333,22.7,93.875,44.096292352894
2015-04-23,4,762.388061924157,0.182979943253629,4.95833333333333,ENE,1.7,10.8305727888817,0.1,927.058090699502,20.5833333333333,25.8,85.875,35.1340159013427
2015-04-24,4,899.743008591568,0.211482627058148,5.66666666666667,NE,7.8,14.4923935616742,0,927.049056319744,22.0291666666667,28.6,81.75,29.1667338821345
2015-04-25,4,956.86046033152,0.314239973919872,6.54166666666667,S,6.9,14.6284606680687,1.4,928.826122526301,18.2375,22.9,83.1666666666667,18.5251130196954
2015-04-26,4,1134.9491092473,0.296130564493131,6.08333333333333,SE,6.9,14.0911386659472,0.8,929.015586427996,18.6291666666667,23.6,83.75,16.9585331126211
2015-04-27,4,1111.0053651556,0.0750785063592628,5.70833333333333,NE,7.4,16.6931958682066,0,927.758270185328,19.2625,25.5,80.3333333333333,18.2595583861415
2015-04-28,4,1297.65824676016,0.0776035354989413,4.95833333333333,SSE,5.1,14.0647704462293,0,926.266336157361,19.45,26.7,80.125,18.4079226053227
2015-04-29,4,807.071015083029,0.305672021811741,5.41666666666667,SSE,3.6,11.0685044263772,0.1,927.654830969764,17.7833333333333,21.8,86.25,21.8355016871072
2015-04-30,4,552.70540572433,0.352928509116983,6.20833333333333,ESE,0.3,8.00346212772362,0.2,928.259681885199,15.7041666666667,18.9,87.75,21.987714524166
2015-05-01,5,905.113989829857,0.180872525724127,5.58333333333333,E,6.9,15.4400330775774,0,926.912395954185,16.2916666666667,22.2,82.5416666666667,20.4646239991085
2015-05-02,5,1317.84456069986,0.160146821044225,4.125,NE,6,15.4258429088623,0,925.345295705383,17.6833333333333,26.8,84.5833333333333,19.6625720334181
2015-05-03,5,1152.98026054727,0.395085156626424,7.70833333333333,N,5.3,14.817362601347,0,924.178658167749,21.1125,26.9,74.625,25.6084942234057
2015-05-04,5,963.1679782143,0.383743267796389,8.08333333333333,N,0,6.11902270399426,3.1,924.332379450712,19.975,22.2,80.0416666666667,40.5028378405852
2015-05-05,5,549.828094346675,0.315285385765216,5.58333333333333,SE,0.4,6.33618088906974,0.6,928.09039664505,17.625,20.6,90.3333333333333,22.8698177417104
2015-05-06,5,600.626744629817,0.204474495798625,4.75,E,0.5,4.99700634494252,0.1,927.613021268344,17.2041666666667,20.6,87.2916666666667,24.6417214125543
2015-05-07,5,1098.70626946288,0.295613389850065,4.83333333333333,SSE,4.7,11.7292412568866,1.1,928.208613539133,16.2708333333333,22.1,87.4583333333333,16.1172252445792
2015-05-08,5,873.023505288485,0.324533685264761,6.29166666666667,ESE,1.2,9.27832412652818,0.8,931.251793149847,15.4208333333333,18.7,81.9166666666667,20.5338991209052
2015-05-09,5,954.806849858057,0.103830097746007,6.08333333333333,NE,9,16.5121046639511,0,928.769682544796,17.4833333333333,26.5,77.8333333333333,18.7244714257547
2015-05-10,5,592.299466995664,0.16031829071198,5.29166666666667,NE,1.6,7.26912652840588,30,925.043802487383,16.3125,20.9,93.2083333333333,36.7775681659689
2015-05-11,5,811.324922492346,0.284924192013419,7.04166666666667,WNW,1.3,8.7384345813934,0.1,922.616877152584,17.8583333333333,21.4,85.4166666666667,28.1085563966902
2015-05-12,5,888.50456885767,0.333112699932102,5.25,SE,5.7,12.0478737922894,3,926.516107503599,16.5333333333333,21.6,87.1666666666667,18.7231244094976
2015-05-13,5,781.163929110108,0.326856822698857,4.83333333333333,SE,2.3,7.84044670918624,1.4,930.826546584769,15.5166666666667,19.1,90.875,18.7406356208406
2015-05-14,5,854.766682507916,0.34883536220929,4.95833333333333,E,1.5,9.37936012233606,0,930.818119376187,15.6625,20.9,88.7916666666667,17.6532086395267
2015-05-15,5,841.271527968014,0.24797800989188,6.16666666666667,NE,4.8,14.2977173305228,0,931.110406725199,15.9,22.4,83.4166666666667,17.0811115920224
2015-05-16,5,975.26396957448,0.169455964619425,5.33333333333333,E,8,16.930992272549,0,932.128886121226,16.4125,23.5,83.4166666666667,17.395158810834
2015-05-17,5,1047.85120130959,0.162458895919111,6.33333333333333,NE,4.6,13.3945446126167,0,932.283149037421,18.375,24.1,81.4583333333333,25.2700082810714
