"y","m","d","Diadema","Ibirapuera","Maua","PDPedro","SAmaro","Pinheiros","Santana","Caetano","Itaquera","Ipen","Parelheiros","Senhora"
2005,7,11,19.125,43,29,NA,36.125,20.75,NA,31.875,NA,NA,NA,9.875
2005,7,12,20.875,54.125,40,NA,47.625,29,NA,36.5,NA,NA,NA,13
2005,7,13,25.75,59.5,41,NA,45.25,36.125,NA,38.375,NA,NA,NA,14.875
2005,7,14,35.125,60.5,53.125,NA,54.375,41.375,NA,48.75,NA,NA,NA,26.875
2005,7,15,27.5,53.125,51.8571428571429,NA,37.75,35.25,NA,37.375,NA,NA,NA,36
2005,7,16,38.5,67.5,55.125,NA,48,54.5,NA,55,NA,NA,NA,49.5
2005,7,17,39.875,55.25,45,NA,40.25,43.25,NA,47.75,NA,NA,NA,37.625
2005,7,18,25.375,32,30.5,NA,28,12.875,NA,28.125,NA,NA,NA,18.5
2005,7,19,24.875,38.375,35.875,NA,32.5,21.8571428571429,NA,32.1428571428571,NA,NA,NA,8.71428571428571
2005,7,20,18.2857142857143,34.125,31.125,NA,29.75,20.1428571428571,NA,30,NA,NA,NA,8.28571428571429
2005,7,21,23,48,29.875,NA,37.875,23.875,NA,NA,NA,NA,NA,17.25
2005,7,22,20.125,36.75,36.375,NA,25.75,27.375,NA,NA,NA,NA,NA,31.5
2005,7,23,33,61.125,51,NA,42.625,39.625,NA,NA,NA,NA,NA,38.75
2005,7,24,33,60.25,47,NA,47,43.25,NA,NA,NA,NA,NA,21
2005,7,25,18.125,38.7142857142857,26.125,NA,25.25,16.75,NA,NA,NA,NA,NA,38.5
2005,7,26,27.875,55.875,40.875,NA,44.4285714285714,28.75,NA,NA,NA,NA,NA,50.25
2005,7,27,19.5714285714286,32,20.7142857142857,NA,31.875,21.5,NA,26.2857142857143,NA,NA,NA,17.4285714285714
2005,7,28,34.125,54.375,55.875,NA,49.5,31.25,NA,58.5,NA,NA,NA,54.375
2005,7,29,41.75,91.5,57,NA,70.125,38.625,NA,61.125,NA,NA,NA,58.875
2005,7,30,40,85.125,57.75,NA,58.375,58.375,NA,60.75,NA,NA,NA,63.5
2005,7,31,57.375,100,91.875,NA,87.6666666666667,75.375,NA,71.875,NA,NA,NA,86.875
2005,8,1,44.125,83.75,75.625,NA,64.125,40.75,NA,58.3333333333333,NA,NA,NA,72.5
2005,8,2,42,94.625,80.625,NA,60,50.75,NA,67.125,NA,NA,NA,81.5
2005,8,3,47.875,97.75,91.875,NA,72.375,50.125,NA,67.125,NA,NA,NA,75.5
2005,8,4,42,94.75,95.375,NA,69.625,58.125,NA,64.5,NA,NA,NA,81.375
